,player_name,team_name,against,date,gw,tenGameAverage,points,rebounds,assists,blocks,steals,turnovers,fieldGoalAttempts,freeThrowAttempts,made3PointFGs,doubleDoubles,tripleDoubles,score
31339,zeke-nnaji-20010109,Denver Nuggets,Minnesota Timberwolves,2023-04-17T02:30:00Z,49,12,5,1.2,0.0,0,3,-2,0,0,1,0,0,8.2
31163,mike-conley-19871011,Minnesota Timberwolves,Denver Nuggets,2023-04-17T02:30:00Z,49,34,8,4.8,4.5,0,0,0,0,0,2,0,0,19.3
31385,peyton-watson-20020911,Denver Nuggets,Minnesota Timberwolves,2023-04-17T02:30:00Z,49,9,0,1.2,1.5,0,0,0,0,0,0,0,0,2.7
31381,nathan-knight-19970920,Minnesota Timberwolves,Denver Nuggets,2023-04-17T02:30:00Z,49,6,2,1.2,0.0,0,0,-2,0,0,0,0,0,1.2000000000000002
31373,jordan-mclaughlin-19960409,Minnesota Timberwolves,Denver Nuggets,2023-04-17T02:30:00Z,49,12,0,2.4,1.5,0,0,0,0,0,0,0,0,3.9
31297,jaylen-nowell-19990709,Minnesota Timberwolves,Denver Nuggets,2023-04-17T02:30:00Z,49,19,12,1.2,3.0,0,0,-2,0,0,3,0,0,17.2
31176,michael-porter-jr-19980629,Denver Nuggets,Minnesota Timberwolves,2023-04-17T02:30:00Z,49,33,18,13.2,3.0,0,3,0,0,0,4,1,0,42.2
31354,austin-rivers-19920801,Minnesota Timberwolves,Denver Nuggets,2023-04-17T02:30:00Z,49,5,3,3.5999999999999996,0.0,0,0,-2,0,0,1,0,0,5.6
31344,jeff-green-19860828,Denver Nuggets,Minnesota Timberwolves,2023-04-17T02:30:00Z,49,14,0,2.4,1.5,3,3,-2,0,0,0,0,0,7.9
31267,taurean-prince-19940322,Minnesota Timberwolves,Denver Nuggets,2023-04-17T02:30:00Z,49,14,0,0.0,3.0,0,0,0,0,0,0,0,0,3.0
31233,rudy-gobert-19920626,Minnesota Timberwolves,Denver Nuggets,2023-04-17T02:30:00Z,49,35,8,15.6,0.0,6,0,-2,0,0,0,0,0,27.6
31341,josh-minott-20021125,Minnesota Timberwolves,Denver Nuggets,2023-04-17T02:30:00Z,49,9,0,0.0,0.0,3,6,-2,0,0,0,0,0,7.0
31477,thomas-bryant-19970731,Denver Nuggets,Minnesota Timberwolves,2023-04-17T02:30:00Z,49,6,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0
